"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","16","AtLeastOneConstructor: Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","18","CommentRequired: Field comments are required","Documentation","CommentRequired"
"3","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","18","ImmutableField: Field 'switchStatement' may be declared final","Design","ImmutableField"
"4","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","18","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
"5","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","18","UseDiamondOperator: Explicit type arguments can be replaced by a diamond: `new ArrayList<>()`","Code Style","UseDiamondOperator"
"6","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","20","MethodArgumentCouldBeFinal: Parameter 'node' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","20","MissingOverride: The method 'visit(SwitchStatement)' is missing an @Override annotation.","Best Practices","MissingOverride"
"8","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","22","LocalVariableCouldBeFinal: Local variable 'name' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","24","LocalVariableCouldBeFinal: Local variable 'visitor' could be declared final","Code Style","LocalVariableCouldBeFinal"
"10","badsmelldetector.switchstatementdetector","src/badsmelldetector/switchstatementdetector/SwitchStatementVisitor.java","3","37","LooseCoupling: Avoid using implementation types like 'ArrayList'; use the interface instead","Best Practices","LooseCoupling"
